###############################################################################
# SDCS (nb/GeV^6) for the 3P2 Singlet channel at NLO
# h = 0 ; |h| = 1 ; |h| = 2 ; Total = h0 + 2*h1 + 2*h2
# pT in bins of 1 GeV from 5 to 120 GeV
# Integrated over |y| < 1.2 ---> Values to be divided by 2.4 !!!
###############################################################################
93   -0.000115164	-0.000182507	-0.000470619	-0.001421417
94   -0.000108464	-0.000172081	-0.000443671	-0.001339968
95   -0.000102216	-0.000162357	-0.000418494	-0.001263918
96   -9.63856E-05	-0.000153283	-0.000394957	-0.001192864
97   -9.09419E-05	-0.000144807	-0.000372939	-0.001126436
98   -8.58557E-05	-0.000136886	-0.000352332	-0.001064292
99   -8.11007E-05	-0.000129478	-0.000333033	-0.001006123
100  -7.66526E-05	-0.000122546	-0.000314948	-0.00095164
101  -7.2489E-05	-0.000116308	-0.000297992	-0.00090109
102  -6.85895E-05	-0.000110442	-0.000282086	-0.000853645
103  -6.49351E-05	-0.000104917	-0.000267156	-0.000809082
104  -6.15084E-05	-9.97099E-05	-0.000253135	-0.000767199
105  -5.82934E-05	-9.47965E-05	-0.000239961	-0.000727809
106  -5.52753E-05	-9.0156E-05	-0.000227576	-0.00069074
107  -5.24404E-05	-8.57695E-05	-0.000215927	-0.000655834
108  -4.97762E-05	-8.16195E-05	-0.000204965	-0.000622945
109  -4.7271E-05	-7.76904E-05	-0.000194644	-0.000591939
110  -4.49141E-05	-7.39677E-05	-0.000184921	-0.000562692
111  -4.26954E-05	-7.0438E-05	-0.000175758	-0.000535088
112  -4.06059E-05	-6.70892E-05	-0.000167119	-0.000509023
113  -3.8637E-05	-6.39102E-05	-0.000158969	-0.000484396
114  -3.67807E-05	-6.08905E-05	-0.000151278	-0.000461118
115  -3.50298E-05	-5.80207E-05	-0.000144016	-0.000439103
116  -3.33774E-05	-5.52921E-05	-0.000137156	-0.000418274
117  -3.18173E-05	-5.26964E-05	-0.000130673	-0.000398557
118  -3.03435E-05	-5.02261E-05	-0.000124544	-0.000379885
119  -2.89507E-05	-4.78742E-05	-0.000118747	-0.000362194
120  -2.76337E-05	-4.56342E-05	-0.000113262	-0.000345426
