# Values "interpolated/scaled" by Carlos to match the ones from Shao at low pt
# where we observed wiggles.
#
# Also fixed the apparent mixup of h=0 and |h|=1 states
#
# For compatibility keep the three column layout of the originals but fill all
# with the same values, i.e. pT, LP+NLO, NLO
108	-0.0002341974346	-0.0002341974346	-0.0002341974346
109	-0.0002224826309	-0.0002224826309	-0.0002224826309
110	-0.0002114423509	-0.0002114423509	-0.0002114423509
111	-0.0002010328241	-0.0002010328241	-0.0002010328241
112	-0.0001912134312	-0.0001912134312	-0.0001912134312
113	-0.0001819464558	-0.0001819464558	-0.0001819464558
114	-0.0001731968567	-0.0001731968567	-0.0001731968567
115	-0.0001649320598	-0.0001649320598	-0.0001649320598
116	-0.0001571217679	-0.0001571217679	-0.0001571217679
117	-0.000149737786	-0.000149737786	-0.000149737786
118	-0.0001427538614	-0.0001427538614	-0.0001427538614
119	-0.0001361455366	-0.0001361455366	-0.0001361455366
120	-0.000129890015	-0.000129890015	-0.000129890015
