###############################################################################
# SDCS (nb/GeV^6) for the 3P2 Singlet channel at NLO+LP
# h = 0 ; |h| = 1 ; |h| = 2 ; Total = h0 + 2*h1 + 2*h2
# pT in bins of 1 GeV from 5 to 120 GeV
# Integrated over |y| < 1.2 ---> Values to be divided by 2.4 !!!
###############################################################################
93   -0.000252613	-0.000411302	-0.000954972	-0.002985161
94   -0.000237655	-0.000387097	-0.000898878	-0.002809604
95   -0.000223715	-0.000364539	-0.000846551	-0.002645895
96   -0.000210714	-0.000343502	-0.000797708	-0.002493133
97   -0.000198581	-0.000323869	-0.000752086	-0.002350494
98   -0.000187251	-0.000305535	-0.000709448	-0.002217218
99   -0.000176664	-0.000288402	-0.000669574	-0.002092618
100  -0.000166765	-0.000272383	-0.000632261	-0.001976053
101  -0.000157503	-0.000257645	-0.000597319	-0.001867432
102  -0.000148832	-0.000243827	-0.000564586	-0.001765656
103  -0.000140711	-0.000230858	-0.000533903	-0.001670232
104  -0.0001331	-0.000218679	-0.000505127	-0.00158071
105  -0.000125963	-0.000207231	-0.000478125	-0.001496675
106  -0.000119267	-0.000196465	-0.000452773	-0.001417744
107  -0.000112981	-0.000186331	-0.00042896	-0.001343564
108  -0.000107078	-0.000176787	-0.00040658	-0.001273811
109  -0.00010153	-0.000167792	-0.000385536	-0.001208185
110  -9.63145E-05	-0.00015931	-0.000365738	-0.00114641
111  -9.14077E-05	-0.000151306	-0.000347103	-0.001088225
112  -8.67899E-05	-0.000143749	-0.000329555	-0.001033399
113  -8.24417E-05	-0.000136611	-0.000313023	-0.000981709
114  -7.83453E-05	-0.000129864	-0.00029744	-0.000932954
115  -7.44845E-05	-0.000123484	-0.000282746	-0.000886945
116  -7.08439E-05	-0.000117448	-0.000268883	-0.000843507
117  -6.74094E-05	-0.000111735	-0.000255799	-0.000802477
118  -6.41677E-05	-0.000106325	-0.000243444	-0.000763706
119  -6.11068E-05	-0.000101199	-0.000231773	-0.000727052
120  -5.82152E-05	-9.63411E-05	-0.000220743	-0.000692384
