###############################################################################
# SDCS (nb/GeV^6) for the 3P2 Singlet channel, polarized |h|=2
# Matrix element normalization follows PRD51 (1995) 1125 Eq. (6.3d)
###############################################################################
# pT  LP+NLO              LO                    NLO
###############################################################################
5    -892.5283843775491    385.30891448391776    -108.1456671234306
6    -426.6313048679349    115.44329016833774    -46.76033358378147
7    -263.3050306434076    38.818579672026885    -62.18576596322723
8    -175.00110524593464    14.426604492330483    -60.8857343855578
9    -117.14501830890127    5.842925854343836    -48.781793942065676
10    -75.3724171439792    2.548284638474482    -32.5226108479676
11    -41.92847895648149    1.1854859822342518    -14.020150103632757
12    -25.58386035418905    0.5828806293601717    -6.806897557922108
13    -17.64047295022274    0.3008165911936399    -4.645903590197443
14    -13.332169758935539    0.16198806567987767    -4.121409374671163
15    -10.479884048662608    0.09055270814171155    -3.8141691107232667
16    -7.945213238556991    0.052342374427100484    -3.033774650801278
17    -6.033666217713966    0.03116746217708274    -2.354666901189496
18    -4.606281237032751    0.019060150360562814    -1.8083539218862221
19    -3.544010790945972    0.011939963580647117    -1.3876743317207068
20    -2.7531702006177152    0.007644763097595241    -1.0713993610160821
21    -2.1752473091072626    0.0049938718438211314    -0.8499002374470724
22    -1.7347421708375097    0.0033220148320299626    -0.6799992579804837
23    -1.3957582643957966    0.002247010781905877    -0.5487638889939055
24    -1.1325056732633256    0.0015433875254589832    -0.44664912707530374
25    -0.9262764460066294    0.0010752364629279755    -0.36659598868402343
26    -0.7656636916431014    0.000759097713444727    -0.30558530613943274
27    -0.6374085057830485    0.0005424938419022373    -0.256687638180046
28    -0.5340689129293572    0.0003921288408856436    -0.2170667106749603
29    -0.4501194324559522    0.00028646405103986    -0.18464842236169568
30    -0.3814076576328338    0.0002113594202075342    -0.15789211692603908
31    -0.3247674038573234    0.00015740340814181952    -0.13563692634432736
32    -0.2777906442523993    0.00011825058054572654    -0.11699663732231005
33    -0.23860012177836637    0.00008957078409048915    -0.10128653850936942
34    -0.20572784357505502    0.00006837541071655069    -0.08797172647355796
35    -0.1780165029753667    0.00005257963727782013    -0.07663004979285899
36    -0.15404357533322557    0.00004071863646199348    -0.06642198709347862
37    -0.13372997099951206    0.00003174106770030917    -0.05773365128373875
38    -0.11645865977072464    0.00002489749215982977    -0.05032138974291466
39    -0.10172558301790312    0.00001964534772011215    -0.04398248383988812
40    -0.08911746945183652    0.00001558863954835722    -0.03854814341638757
41    -0.07829535947943228    0.000012436108738260593    -0.03387767460161259
42    -0.0689770515190406    9.97195373336346e-6    -0.0298536438927472
43    -0.06093003086657986    8.03516059358815e-6    -0.0263778791567448
44    -0.05396105759601483    6.504790825331905e-6    -0.023368168352206887
45    -0.0479090163367425    5.2894275940438344e-6    -0.020755536771854263
46    -0.04263915481871278    4.319548365802182e-6    -0.01848200214464035
47    -0.03803842564669291    3.541973166439098e-6    -0.016498723429417536
48    -0.03401170755389556    2.9157960462829043e-6    -0.014764473420976027
49    -0.030478730158069622    2.4093840229273037e-6    -0.013244377446936927
50    -0.027371563325253728    1.9981495733933406e-6    -0.011908870647472333
51    -0.02467834804983112    1.662990649252268e-6    -0.010777645495840253
52    -0.02229362305733353    1.3886937759689186e-6    -0.009774173462751964
53    -0.020176931521882303    1.1633864246582097e-6    -0.008881571123877911
54    -0.01829379137964986    9.776676709680238e-7    -0.008085511473126944
55    -0.01661471599496077    8.240621852161286e-7    -0.0073737892799478726
56    -0.015114410859919452    6.966015979118442e-7    -0.006735968046370982
57    -0.013771111970642055    5.905019954567416e-7    -0.006163091871157945
58    -0.012566038744452189    5.019143299509082e-7    -0.005647449210228154
59    -0.01148293994044644    4.2773040187380893e-7    -0.005182378336150144
60    -0.010507715408561    3.6543139670585044e-7    -0.004762106462275218
61    -0.009627555206553366    3.1296915353070047e-7    -0.004381616168958292
62    -0.00883245373928034    2.686727204415823e-7    -0.004036534068678473
63    -0.008113058768661955    2.3117452735742745e-7    -0.0037230376619760003
64    -0.00746117114936953    1.9935183997075216e-7    -0.0034377771331136776
65    -0.006869587485332051    1.7228016398648076e-7    -0.0031778094631175107
66    -0.006331966286102823    1.491960305148084e-7    -0.0029405427361640776
67    -0.0058427138159492    1.2946717304213234e-7    -0.0027236889119777734
68    -0.005396886492662517    1.1256854923183813e-7    -0.0025252236540574268
69    -0.004990107233227912    9.806300053911095e-8    -0.002343352058166099
70    -0.004618493584292256    8.558560429261316e-8    -0.002176479330740111
71    -0.0042755383278976575    7.483427174971075e-8    -0.0020199349853487446
72    -0.0039616974534628915    6.5548650014859e-8    -0.0018762186992111907
73    -0.0036741903771687033    5.7513486224990436e-8    -0.0017441563068212717
74    -0.0034105314637393096    5.054736563543928e-8    -0.0016226919323938252
75    -0.00316849563926176    4.4497048825871106e-8    -0.0015108750236765296
76    -0.0029460883725335877    3.92328129139779e-8    -0.0014078489177930735
77    -0.0027415194245691884    3.4644608978448876e-8    -0.001312840745510101
78    -0.002553179854604973    3.063888481380552e-8    -0.0012251525063137413
79    -0.0023796218456364326    2.7135951456810076e-8    -0.0011441531689897922
80    -0.0022195409755519624    2.4067795272943243e-8    -0.0010692716715724755
81    -0.0020717171356418916    2.1376256041129357e-8    -0.0009999907110242686
82    -0.0019351408769758198    1.9011506413458113e-8    -0.0009358412272259111
83    -0.0018088521093785567    1.6930780125662602e-8    -0.0008763974981222434
84    -0.001691981425698115    1.509730599800435e-8    -0.0008212727734684486
85    -0.0015837407264165898    1.3479412569849955e-8    -0.0007701153837901486
86    -0.0014834148959377688    1.2049774528878723e-8    -0.0007226052691137365
87    -0.0013903544034814365    1.0784777223265554e-8    -0.0006784508789120891
88    -0.001303968717951187    9.663979716768405e-9    -0.0006373864006935865
89    -0.0012237204403144973    8.669660248657442e-9    -0.0005991692798639268
90    -0.0011491200692728084    7.786430741307381e-9    -0.0005635779980187499
91    -0.0010797369866102327    7.000909276592198e-9    -0.0005304100807719994
92    -0.001015145080974607    6.301441332947822e-9    -0.0004994803096690412
93    -0.0009549720935019708    5.677862114364655e-9    -0.0004706191157426396
94    -0.0008988778871643493    5.121293571999627e-9    -0.00044367113490157003
95    -0.0008465514010934255    4.623970768085403e-9    -0.00041849390764618844
96    -0.0007977079194335034    4.179093100397561e-9    -0.0003949567076253863
97    -0.0007520866196070804    3.780696626175002e-9    -0.0003729394853221597
98    -0.0007094483690886014    3.423544323440397e-9    -0.00035233191471252686
99    -0.0006695737434541584    3.103031626593839e-9    -0.0003330325321122533
100    -0.0006322612416809568    2.8151049894657716e-9    -0.00031494795763175633
101    -0.0005973195175305977    2.5561915770276154e-9    -0.00029799219072238923
102    -0.0005645855819314692    2.3231384783942408e-9    -0.00028208597223482634
103    -0.0005339028275065908    2.1131600782401204e-9    -0.0002671562062383505
104    -0.0005051269493026626    1.923792429202312e-9    -0.0002531354355817362
105    -0.00047812488594403094    1.7528536407828635e-9    -0.00023996136582404203
106    -0.00045277385976469006    1.5984094460775719e-9    -0.00022757643273731677
107    -0.0004289605059427697    1.458743230796906e-9    -0.00021592740909170112
108    -0.00040658008173930676    1.3323299132032647e-9    -0.00020496504688470476
109    -0.0003855357478963524    1.2178131518266682e-9    -0.00019464375157725785
110    -0.0003657379150938594    1.1139854326872913e-9    -0.00018492128525543969
111    -0.0003471030902926532    1.0197706513694495e-9    -0.00017575849595389878
112    -0.0003295551205657858    9.342088594264771e-10    -0.00016711907065929577
113    -0.00031302281837091995    8.564428907312205e-10    -0.0001589693097638718
114    -0.0002974401589108805    7.857066227579364e-10    -0.00015127792096375739
115    -0.0002827458701035446    7.213146614286115e-10    -0.00014401583079716215
116    -0.00026888305789840507    6.626532669508523e-10    -0.00013715601219679038
117    -0.0002557988636566657    6.09172362748117e-10    -0.00013067332659106746
118    -0.00024344415063831453    5.603784907548062e-10    -0.00012454437923223937
119    -0.00023177321693154175    5.158285945380301e-10    -0.00011874738655791074
120    -0.00022074353242111842    4.751245273556813e-10    -0.00011326205450782302
